product_id,product_name,meat_type,product_type,who_eat,manufacturer
243,"ГАЛЕРЕЯ ВКУСА Продукты разделки и обвалки мяса птицы. Филе утенка большое, охл. (в/у скин)",утка,полуфабрикаты и субпродукты,люди,галерея вкуса
246,"ГАЛЕРЕЯ ВКУСА Мясо птицы. Окорочок утенка охлажд. (в/у ""Skin"")",утка,полуфабрикаты и субпродукты,люди,галерея вкуса
247,ГАЛЕРЕЯ ВКУСА Мясо птицы. Тушка утенка 1 сорт (заморож.) (в/пак.),утка,полуфабрикаты и субпродукты,люди,галерея вкуса
249,"ГАЛЕРЕЯ ВКУСА Продукты разделки и обвалки мяса птицы. Плечевая часть крыла утенка  охлажд. (в/у ""Skin"")",утка,полуфабрикаты и субпродукты,люди,галерея вкуса
2916,ГАЛЕРЕЯ ВКУСА Мясо птицы. Тушка утенка потр. 1 сорт охлажд. (в/у),утка,полуфабрикаты и субпродукты,люди,галерея вкуса
33668,ГАЛЕРЕЯ ВКУСА Печень цыплят-бройлеров глубокозам. (лоток) 800 г,бройлер,полуфабрикаты и субпродукты,люди,галерея вкуса
3611,ГАЛЕРЕЯ ВКУСА Продукт разделки и обвалки мяса птицы. Окорочок утенка бескостный охл. (в/у скин) охлажд.,утка,полуфабрикаты и субпродукты,люди,галерея вкуса
37571,Желудки мышечные цыплят-бройлеров ГАЛЕРЕЯ ВКУСА глубокозам. (лоток) 800г,бройлер,полуфабрикаты и субпродукты,люди,галерея вкуса
38236,Мясо птицы. Тушка цыпленка-бройлера ПРОИЗВОДСТВО охлажд. 1 сорт потр. (пакет),бройлер,полуфабрикаты и субпродукты,люди,производство
3897,"Колбаса салями из мяса птицы ВИТАЛЮР ""Сервелат Фирменный"" высший сорт в/к (иск/о,в/у)",птица,колбасы,люди,виталюр
3899,"Колбаса салями из мяса птицы ВИТАЛЮР ""Сервелат Фирменный"" высший сорт в/к (иск/об, в/у, порц.) 0,38кг",птица,колбасы,люди,виталюр
40569,"Продукт из мяса птицы ГАЛЕРЕЯ ВКУСА ""Рулет Царский"" высший сорт к/в (в/у трансп.)",птица,рулеты,люди,галерея вкуса
40712,"Сардельки ГАЛЕРЕЯ ВКУСА ""По-деревенски"" высший сорт (ГМС)",птица,сар,люди,галерея вкуса
4306,"Колбаса салями из мяса птицы ГАЛЕРЕЯ ВКУСА ""Сервелат Финский утиный"" (текст.обол.) мясная охлажд. высший сорт в/к (в/у)",утка,колбасы,люди,галерея вкуса
4307,"Колбаски салями из мяса птицы ГАЛЕРЕЯ ВКУСА ""Кабаносы классик"" мясные охлажд. в/с в/к (ГМС, порц.) 180г",птица,колбасы,люди,галерея вкуса
4308,"Колбаски салями из мяса птицы ГАЛЕРЕЯ ВКУСА ""Кабаносы с фуа-гра"" мясные охлажд. в/с в/к (ГМС, порц.) 180г",птица,колбасы,люди,галерея вкуса
4309,"Продукт из субпродуктов птицы ГАЛЕРЕЯ ВКУСА ""Конфи. Желудки"" охлажд. жар. (в/п, порц.) 280г",птица,полуфабрикаты и субпродукты,люди,галерея вкуса
